id;alert_type;alert_time;email_sent;details
1;ouch out inwardly;2025-02-04T08:50:50;true;without red
2;premise bewail queasily;2025-02-04T01:22:17;true;veto kindheartedly
3;savour;2025-02-03T23:09:00;false;designation citizen mouser
4;whether widow in;2025-02-04T19:56:55;false;supposing versus curse
5;gastropod;2025-02-03T22:21:54;false;heavenly rightfully against
6;whereas intermarry;2025-02-03T21:27:17;true;eek defiantly
7;black;2025-02-04T00:12:05;true;essential duh
8;petal jumbo;2025-02-04T02:15:32;true;yuck throughout
9;while under;2025-02-03T22:15:28;false;proceed feminize unaccountably
10;inasmuch sonnet over;2025-02-04T10:37:18;false;as
