id;installment_number;due_date;remaining_balance;principal;payment_date;payment_amount;penalty_interest
1;19226;2025-02-04;32563.12;11403.48;2025-02-04;27265.97;5407.16
2;10637;2025-02-04;3725.03;688.17;2025-02-04;6640.59;27389.49
3;25740;2025-02-04;14252.64;23287.36;2025-02-04;20940.57;6384.15
4;2983;2025-02-04;9846.24;6140.97;2025-02-04;15964.63;8480.26
5;1271;2025-02-04;9177.24;18963.39;2025-02-04;15138.75;6087.05
6;5782;2025-02-04;14316.84;27135.73;2025-02-04;16357.82;20708.75
7;8675;2025-02-04;2846.27;5559.8;2025-02-03;24601.95;7335
8;9569;2025-02-03;20672.53;21564.09;2025-02-04;8292.58;26633.11
9;30862;2025-02-04;31679.74;29662.48;2025-02-04;2725.34;7003.66
10;26670;2025-02-04;30479.67;22296.26;2025-02-04;17958.13;18635.4
