id;salary;family_load;workplace;housing_type;rent_cost;years_of_employment;employment_status
1;10999.46;7246;corner;puppet loyalty;31968.45;6059;5106
2;5327.72;3221;essence whose;diversity huzzah across;15532.42;5553;32335
3;16764.14;30637;handover officially honestly;dandelion wonderfully whoever;7021.86;19943;15574
4;7833.81;9898;quaver;actually pointed;3287.18;24020;4839
5;8700.94;10262;shameful though bathhouse;good;18013.48;30490;4661
6;12307.16;23518;however plus;from reconstitute absent;5918.65;2125;29350
7;26764.11;14529;unsteady;divine;7366.38;19199;26824
8;24405.13;280;ah mmm mmm;chip to sizzling;3849.42;243;5806
9;10291.64;12688;hmph phew heating;hello nor probable;4647.97;11233;13120
10;8726.95;140;frenetically tuba;patiently;21051.36;30215;32301
